	wt_d0._vs_TET3KO_d0._diff	wt_d0._vs_TET3KO_d0._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
AARSD1	-0.377041064681791	0.0258417407477084	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASS	0.42533393546368	0.0800640901693152	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
ABAT	0.260229217797573	0.300191086271915	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""	8.0
ABL1	-0.826766064505595	7.54342946367578e-06	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1	8.0
ABRACL	1.97920893518055	6.87870403260149e-05	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL	8.0
ACADVL	-0.667141064563484	0.0003823988819037	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""	8.0
ACAP2	-0.0378160644976262	0.980654995644768	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""	8.0
ACD	0.325908935493153	0.85606680407988	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog	8.0
ACO2	0.398633935420893	0.021626271657157	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""	8.0
ACOT1	-0.553466064597689	0.0001505365857695	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1	8.0
ACOT8	0.23665893512943	0.22553299567134	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8	8.0
ACP1	1.60328393526308	9.05028797360075e-05	P24666	P24666;G5E9R5	PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase	8.0
ACP2	-0.425066064880049	0.0456137127409753	P11117	P11117;E9PQY3;E9PHY0;A0A5F9ZHR7;B7Z6U3;A0A5F9ZH40;A0A5F9ZH82;B7Z7D2;A0A5F9ZI20	PPAL_HUMAN	Lysosomal acid phosphatase	8.0
