	wt_d1._vs_TET3KO_d1._diff	wt_d1._vs_TET3KO_d1._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
AARSD1	-0.404270485547976	0.0173024075642017	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASS	0.532179514532121	0.0300019525678872	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
ABAT	0.581904514524574	0.0235025131748847	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""	8.0
ABL1	-0.562045485342303	0.001284820607894	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1	8.0
ABRACL	0.647229514694033	0.159178970373564	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL	8.0
ACADVL	-0.331670485509918	0.0629621898363904	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""	8.0
ACAP2	0.179304514462785	0.908474852788435	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""	8.0
ACD	0.276629514389974	0.877637559880146	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog	8.0
ACO2	0.290829514472826	0.089478767335563	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""	8.0
ACOT1	-0.393545485412957	0.0051516257421799	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1	8.0
ACOT8	0.579054514411698	0.0042797954389282	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8	8.0
