	wt_d2._vs_TET3KO_d2._diff	wt_d2._vs_TET3KO_d2._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
AARSD1	-0.340472261692671	0.0431466406227392	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASS	0.33882773815543	0.160675745258825	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
ABAT	0.638427738183012	0.0134495371758233	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""	8.0
ABL1	-0.88034726175842	2.49343129398046e-06	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1	8.0
ABRACL	2.32792773818529	5.34927164777074e-06	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL	8.0
ACADVL	-1.11327226180725	7.33759716114198e-08	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""	8.0
ACAP2	0.0555777381870399	0.971572256484741	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""	8.0
ACD	1.27359416172963	0.479566406044306	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog	8.0
ACO2	0.327027738038652	0.0572011938327389	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""	8.0
ACOT1	-0.384372261796592	0.006194324522455	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1	8.0
ACOT8	0.586127738423841	0.0038687124231181	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8	8.0
ACP1	1.99917773805802	2.6839114894134e-06	P24666	P24666;G5E9R5	PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase	8.0
ACP2	-0.873622261781918	0.0001125306995661	P11117	P11117;E9PQY3;E9PHY0;A0A5F9ZHR7;B7Z6U3;A0A5F9ZH40;A0A5F9ZH82;B7Z7D2;A0A5F9ZI20	PPAL_HUMAN	Lysosomal acid phosphatase	8.0
ACSL1	-0.265297261652556	0.260555463146014	P33121	P33121;E7EPM6;B7Z3Z9;D6RER0;H0Y9Z9	ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1	8.0
ACSS2	2.49000103438441	0.0059528243640465	Q9NR19	Q9NR19;F8WDJ9;B4DEH9;C9IYL0;C9J7L5;C9JXD9;F8WCJ4;C9JY31	ACSA_HUMAN	"""Acetyl-coenzyme A synthetase, cytoplasmic"""	8.0
