	wt_d3._vs_TET3KO_d3._CI.L	wt_d3._vs_TET3KO_d3._CI.R	wt_d3._vs_TET3KO_d3._diff	wt_d3._vs_TET3KO_d3._p.adj	wt_d3._vs_TET3KO_d3._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
A2M	-3.53910081724615	4.33040714921543	0.395653165984641	0.877461139327715	0.840496272466644	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin
AAAS	-1.25896834325946	-0.360125325496517	-0.809546834377986	0.49106037047422	0.0007180986199114	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin
AACS	-0.548518804909477	0.312275137030915	-0.118121833939281	0.862377216581424	0.583329600988363	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase
AADAT	-1.20206069781116	0.200711387870443	-0.500674654970357	0.806908337903755	0.157523255592164	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""
AAGAB	-0.565493193574796	0.825138252194429	0.129822529309816	0.870380591827577	0.708776734257332	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34
AAK1	-0.602461517274062	2.13766784915168	0.767603165938809	0.829640991894244	0.265274340057908	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)
AAK1	-0.73137860916973	-0.195515058683854	-0.463446833926792	0.520572402952909	0.0011027957824533	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1
AAMDC	-1.5771982203576	0.592231626699566	-0.492483296829015	0.843127168274739	0.365542759441751	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein
AAMP	-0.704446901634198	0.0619032335868033	-0.321271834023698	0.785245418653021	0.0982395049349259	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein
AAR2	8.81073812852643	17.700670694688	13.2557044116072	0.0959454141943112	2.86149490945346e-07	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog
