	wt_d4._vs_TET3KO_d4._CI.L	wt_d4._vs_TET3KO_d4._CI.R	wt_d4._vs_TET3KO_d4._diff	wt_d4._vs_TET3KO_d4._p.adj	wt_d4._vs_TET3KO_d4._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
A2M	-3.50578411679537	4.36372384966621	0.428969866435423	0.835864826689136	0.827275161826489	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin
AAAS	-0.706126642583845	0.192716375179094	-0.256705133702376	0.714054932532363	0.256196216256479	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin
AACS	-0.186602104739097	0.674191837201295	0.243794866231099	0.715857820502327	0.260115012321731	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase
AADAT	-0.945516176349573	0.457255909332028	-0.244130133508772	0.785135616085446	0.487072288773581	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""
AAGAB	-1.27522398268989	0.115407463079337	-0.579908259805276	0.592168040838078	0.0999745651015492	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34
AAK1	0.237053853032606	2.97718321945835	1.60711853624548	0.381116860629229	0.0225084432890713	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)
AAK1	-0.516286909125663	0.0195766413602124	-0.248355133882725	0.538910387064926	0.0684509745584517	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1
AAMDC	-18.2514183031877	-16.0819884561305	-17.1667033796591	1.57105800744951e-14	5.18722916801532e-33	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein
AAMP	-0.638955201360225	0.127394933860777	-0.255780133749724	0.674472231947205	0.185651586389922	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein
AAR2	8.41474934817678	17.3046819143383	12.8597156312576	0.000770423867538	5.31057527780122e-07	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog
AARS1	-0.057045241941847	0.406884975092144	0.174919866575149	0.633886409042973	0.135890374792522	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""
AARS2	0.0535218167436687	0.653867916706133	0.353694866724901	0.377628698868455	0.0219415681193747	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""
AARSD1	-1.2642796515715	-0.605230615652607	-0.934755133612054	0.001033011675381	7.84859325337231e-07	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1
AASDH	-6.30035268347386	6.30035268347386	0.0	0.852551501641562	1.0	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme
AASDHPPT	0.0177529513072385	0.696986781693261	0.35736986650025	0.46051161812403	0.0395987546028687	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	0.70363010795462	1.66030962523129	1.18196986659295	0.0059969083827921	9.5852443759502e-06	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""
AATF	-0.174136910928596	0.74292664376295	0.284394866417177	0.694629762867762	0.218185232528521	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF
ABAT	-0.0248026775192738	0.974992410517272	0.475094866498999	0.524744019942883	0.0619819277162165	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""
ABCA1	-2.91525264470448	3.91099237745967	0.497869866377595	0.829415973238799	0.770372774825067	O95477	O95477	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1
ABCA2	-0.466261770672981	0.466261770672981	0.0	0.852551501641562	1.0	Q9BZC7	Q9BZC7;A0A087WXK5;J3QSS3;E9PGB2	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2
ABCA3	-5.81502053384988	5.63936026698618	-0.0878301334318508	0.850404292985488	0.975507924673159	Q99758	Q99758;H0Y3H2	ABCA3_HUMAN	ATP-binding cassette sub-family A member 3
ABCA4	-22.1756936407103	-12.8697704138883	-17.5227320272993	3.84868965990445e-06	1.2317597464168602e-09	P78363	P78363;F6TT59	ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4
ABCA5	-0.610791183703783	1.13478091647878	0.261994866387496	0.797129988252577	0.548661687204617	Q8WWZ7	Q8WWZ7;K7EMV2;K7EPM3;A0A075B778	ABCA5_HUMAN	ATP-binding cassette sub-family A member 5
ABCA9	-3.17720394028267	3.17720394028267	0.0	0.852551501641562	1.0	Q8IUA7	Q8IUA7;H0Y4U7	ABCA9_HUMAN	ATP-binding cassette sub-family A member 9
ABCB10	-0.7341773968235	0.631117129573208	-0.0515301336251461	0.841362929788115	0.879896783143272	Q9NRK6	Q9NRK6	ABCBA_HUMAN	"""ATP-binding cassette sub-family B member 10, mitochondrial"""
ABCB6	-0.30846688331504	1.09910661542644	0.395319866055701	0.717643229015667	0.264067714370993	Q9NP58	Q9NP58	ABCB6_HUMAN	"""ATP-binding cassette sub-family B member 6, mitochondrial"""
ABCB7	-0.299681728098796	0.840271460790993	0.270294866346099	0.748255267371677	0.344797178793471	O75027	O75027;A0A590UJS8;A0A2R8Y473;A0A087WW65;B4DGL8;A0A5F9ZA98	ABCB7_HUMAN	"""ATP-binding cassette sub-family B member 7, mitochondrial"""
ABCB8	-0.0356917958206583	1.15303152800806	0.558669866093702	0.531080827560135	0.0647931246981559	Q9NUT2	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit
ABCC1	-0.23581604679174	0.579855779522738	0.172019866365499	0.764567212969476	0.400277109976739	P33527	P33527;I3L4X2	MRP1_HUMAN	Multidrug resistance-associated protein 1
ABCC10	-1.12268515190311	0.687124884414708	-0.217780133744203	0.810667810717702	0.630380325409671	Q5T3U5	Q5T3U5;H0Y904	MRP7_HUMAN	Multidrug resistance-associated protein 7
ABCC4	-1.52995479574568	0.199694528835526	-0.665130133455079	0.626357293370129	0.128453108490666	O15439	O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4
ABCC5	-0.429721733769404	1.4031114664229	0.486694866326747	0.728860049370181	0.290644837495814	O15440	O15440;F8WCY8	MRP5_HUMAN	Multidrug resistance-associated protein 5
ABCD1	-0.113793106367686	2.07062746731699	0.978417180474654	0.557280706003918	0.077913242969374	P33897	P33897;A6NEP8	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1
ABCD2	-3.77994069754055	5.00309754655975	0.611578424509602	0.830604618175946	0.780490024777827	Q9UBJ2	Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2
ABCD3	0.124252806227422	1.00158692626533	0.562919866246375	0.30925854131676	0.0130374753060364	P28288	P28288;A0A3B3ITW3	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3
ABCD4	-6.61471594781041	6.47165576815296	-0.071530089828725	0.851027183591482	0.982539453394987	O14678	O14678;H0YJ78	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4
ABCE1	0.201559921574723	0.816479810946721	0.509019866260722	0.117085288013842	0.0017050451402045	P61221	P61221;D6RGF4;D6R9I9;H0Y990	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1
ABCF1	-0.162691812099922	0.330681545239862	0.0839948665699701	0.787102087684188	0.496552980053671	Q8NE71	Q8NE71;A0A0G2JIC2;H0YGW7	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1
ABCF2	-0.264382703706202	0.437872436307207	0.0867448663005028	0.809285380413196	0.621366320082975	Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2
ABCF3	-0.771242413502995	-0.289667853681146	-0.530455133592071	0.0180831694893914	5.69440718161114e-05	Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3
ABCG2	-4.50815122473174	4.50815122473174	0.0	0.852551501641562	1.0	Q9UNQ0	Q9UNQ0;F8S0F2	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2
ABHD10	-0.0449654601535437	0.945905192967944	0.4504698664072	0.549417317663294	0.0737036647091121	Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"""
ABHD11	-1.05869448238916	-0.158565784718183	-0.608630133553671	0.266291121783572	0.0091313003930675	Q8NFV4	Q8NFV4;C9J7Q4;H0YC52;H7BZ58	ABHDB_HUMAN	Protein ABHD11
ABHD12	-0.290582793025841	0.668622525919602	0.189019866446881	0.772599829313145	0.431672168087999	Q8N2K0	Q8N2K0;Q5T712	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12
ABHD13	4.13359125208085	19.5355404089392	11.83456583051	0.166155646357738	0.0033599434888781	Q7L211	Q7L211	ABHDD_HUMAN	Protein ABHD13
ABHD14A	-0.740189465155261	0.036871729802854	-0.351658867676203	0.551852770660317	0.0749809942847293	Q9BUJ0	Q9BUJ0;K7N7A0	ABHEA_HUMAN	Protein ABHD14A
ABHD14B	-19.7401525163481	-8.80549604154672	-14.2728242789474	0.003164527217766	3.7153755118187e-06	Q96IU4	Q96IU4;F8W9U3;B4DQI4	ABHEB_HUMAN	Protein ABHD14B
ABHD15	12.528289628639	18.1631782564893	15.3457339425641	3.4049854033067597e-12	1.99516340411945e-14	Q6UXT9	Q6UXT9	ABH15_HUMAN	Protein ABHD15
ABHD16A	-0.50642691197239	0.879666644930992	0.186619866479301	0.804342166914641	0.590425356493402	O95870	O95870;A0A0G2JJD3	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A
ABHD17A	-0.3969591449358	0.744998877989702	0.174019866526951	0.796023733326068	0.542587192636003	Q96GS6	Q96GS6;Q6PCB6;K7EQ25;K7ENJ6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A
ABHD17B	-1.67544588614238	0.427637811641886	-0.623904037250245	0.705470754781188	0.238488685267849	Q5VST6	Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B
ABHD18	-19.8189665628397	-11.2843280420189	-15.5516473024293	8.63609034673979e-06	2.8538647718813204e-09	A0A2R8YEZ0;B7WP89	B7WP89;A0A2R8YEZ0	A0A2R8YEZ0_HUMAN;B7WP89_HUMAN	Protein ABHD18
ABHD3	15.6311306913307	17.7726337692213	16.701882230276	1.57105800744951e-14	9.82243564498206e-33	Q8WU67	Q8WU67;J3KTE1	ABHD3_HUMAN	Phospholipase ABHD3
ABHD4	10.5946646700538	18.6546493494124	14.6246570097331	9.51222212858429e-06	3.1752562592160805e-09	Q8TB40	Q8TB40	ABHD4_HUMAN	(Lyso)-N-acylphosphatidylethanolamine lipase
ABHD5	-1.18577820851195	0.87686794146545	-0.15445513352325	0.828708330403242	0.764426435262808	Q8WTS1	Q8WTS1;A0A2R8YG22;C9J1D1	ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5
ABHD6	-3.34859939726565	2.69193912965691	-0.328330133804371	0.83591754988769	0.827761246568372	Q9BV23	Q9BV23	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6
ABI1	-0.394390905267846	0.351280637996792	-0.0215551336355269	0.84412520846966	0.90786454778332	Q8IZP0	Q9NYB9;Q8IZP0;E9PEZ7;A0A0A0MRT6;A0A0C4DG21;B6VEX4;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI1_HUMAN	Abl interactor 1
ABI2	-1.54344185550103	-0.0996184114724078	-0.821530133486721	0.404282453033836	0.0266144581452458	Q9NYB9	Q9NYB9;H7C3Q7;A0A0C4DG21;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI2_HUMAN	Abl interactor 2
ABL1	-1.13988923593828	-0.480171031062022	-0.810030133500153	0.006402376772488	1.06269433101475e-05	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1
ABL2	-0.14709892728909	1.03898866034578	0.445944866528347	0.634937417085742	0.136967116717076	P42684	P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2
