	wt_d2._vs_TET3KO_d2._CI.L	wt_d2._vs_TET3KO_d2._CI.R	wt_d2._vs_TET3KO_d2._diff	wt_d2._vs_TET3KO_d2._p.adj	wt_d2._vs_TET3KO_d2._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
A2M	-4.85917624501432	3.01033172144726	-0.92442226178353	0.834888713240699	0.638522292554183	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin
AAAS	-1.82034377096307	-0.921500753200126	-1.3709222620816	0.0225628984968094	1.78030160114043e-07	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin
AACS	-0.798244232924591	0.0625497090158007	-0.367847261954395	0.704001780285076	0.0920897587166552	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase
AADAT	-18.5506401789899	-17.1478680933084	-17.8492541361491	2.02164929550036e-14	3.03650928338501e-42	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""
AAGAB	-0.748837984900903	0.641793460868322	-0.0535222620162905	0.854069524582473	0.87754562164991	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34
AAK1	0.7770671017898	3.51719646821554	2.14713178500267	0.402931102293678	0.002831186017876	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)
AAK1	-0.808554037060044	-0.272690486574168	-0.540622261817106	0.206051991652436	0.0001877472917743	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1
AAMDC	-0.906712185287124	1.26271766177004	0.178002738241457	0.84401600420351	0.742663326228326	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein
AAMP	-0.416672329613234	0.349677805607768	-0.033497262002733	0.852928127873736	0.861093813659155	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein
AAR2	-4.43461354515743	4.45531902100411	0.0103527379233412	0.86175626323697	0.996279688946835	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog
AARS1	0.160237629634561	0.624167846668553	0.392202738151557	0.34129870976101	0.0013878757266293	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""
AARS2	-0.821020311617537	-0.220674211655073	-0.520847261636305	0.319565900403969	0.0010677431441417	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""
AARSD1	-0.669996779652118	-0.0109477437332244	-0.340472261692671	0.643789338640359	0.0431466406227392	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1
AASDH	-10.6955425756371	1.90516279131064	-4.39518989216323	0.747657166231934	0.166973970263526	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme
AASDHPPT	0.111210822835937	0.79044465322196	0.450827738028948	0.519990888114761	0.0103924730461658	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	-0.139512020482904	0.817167496793765	0.33882773815543	0.744935370008571	0.160675745258825	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""
AATF	0.0190709605543653	0.936134515245912	0.477602737900138	0.640681088889243	0.0415553047924371	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF
ABAT	0.138530194164739	1.13832528220128	0.638427738183012	0.543122178033751	0.0134495371758233	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""
ABCA1	-3.19194477288243	3.63430024928171	0.221177738199643	0.855378836517214	0.896788758548439	O95477	O95477	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1
ABCA2	-0.466261770672985	0.466261770672978	-3.5527136788005e-15	0.861983338593064	0.999999999999988	Q9BZC7	Q9BZC7;A0A087WXK5;J3QSS3;E9PGB2	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2
ABCA3	-6.94024381276913	4.51413698806694	-1.2130534123511	0.837968976756231	0.671850996804103	Q99758	Q99758;H0Y3H2	ABCA3_HUMAN	ATP-binding cassette sub-family A member 3
ABCA4	-22.5257157495496	-13.2197925227276	-17.8727541361386	0.0016807644718999	7.337384429686531e-10	P78363	P78363;F6TT59	ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4
ABCA5	-2.28400335214057	-0.538431251958008	-1.41121730204929	0.378029149178839	0.0021319807241035	Q8WWZ7	Q8WWZ7;K7EMV2;K7EPM3;A0A075B778	ABCA5_HUMAN	ATP-binding cassette sub-family A member 5
ABCA9	-3.17720394028267	3.17720394028268	7.105427357601e-15	0.861983338593064	0.999999999999996	Q8IUA7	Q8IUA7;H0Y4U7	ABCA9_HUMAN	ATP-binding cassette sub-family A member 9
ABCB10	-2.12531952517586	-0.760024998779153	-1.44267226197751	0.177992525850656	0.0001019063620218	Q9NRK6	Q9NRK6	ABCBA_HUMAN	"""ATP-binding cassette sub-family B member 10, mitochondrial"""
ABCB6	-1.62800901098404	-0.220435512242561	-0.924222261613302	0.526606080897147	0.0111855184271668	Q9NP58	Q9NP58	ABCB6_HUMAN	"""ATP-binding cassette sub-family B member 6, mitochondrial"""
ABCB7	-1.16832385632316	-0.0283706674333728	-0.598347261878267	0.637616678721405	0.0400489715875956	O75027	O75027;A0A590UJS8;A0A2R8Y473;A0A087WW65;B4DGL8;A0A5F9ZA98	ABCB7_HUMAN	"""ATP-binding cassette sub-family B member 7, mitochondrial"""
ABCB8	-1.43880133906216	-0.250078015233437	-0.844439677147797	0.475497915609917	0.0063521193550727	Q9NUT2	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit
ABCC1	-0.725008175164074	0.0906636511504042	-0.317172262006835	0.726438595986204	0.124340916304848	P33527	P33527;I3L4X2	MRP1_HUMAN	Multidrug resistance-associated protein 1
ABCC10	-2.44397727988481	-0.634167243566988	-1.5390722617259	0.336359867251358	0.0013083882036583	Q5T3U5	Q5T3U5;H0Y904	MRP7_HUMAN	Multidrug resistance-associated protein 7
ABCC4	-1.47339692415261	0.2562524004286	-0.608572261862005	0.746118487545446	0.163379887029808	O15439	O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4
ABCC5	-1.64748886202288	0.185344338169425	-0.731072261926727	0.72079000223345	0.115166297962944	O15440	O15440;F8WCY8	MRP5_HUMAN	Multidrug resistance-associated protein 5
ABCD1	-2.48348275599139	-0.299062182306711	-1.39127246914905	0.544615349153841	0.0136763552633282	P33897	P33897;A6NEP8	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1
ABCD2	-17.8577459903235	-9.07470774622325	-13.4662268682734	0.021650296859778	1.59265275583601e-07	Q9UBJ2	Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2
ABCD3	-1.01586432177541	-0.138530201737507	-0.57719726175646	0.525409878616779	0.0110376430487839	P28288	P28288;A0A3B3ITW3	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3
ABCD4	-2.99038476316968	10.0959869527937	3.552801094812	0.782981516178728	0.280109207438574	O14678	O14678;H0YJ78	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4
ABCE1	0.163017793345396	0.777937682717394	0.470477738031395	0.421424776812402	0.0034854487301217	P61221	P61221;D6RGF4;D6R9I9;H0Y990	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1
ABCF1	-0.0477089406664355	0.445664416673349	0.198977738003457	0.718253600246717	0.111296353249691	Q8NE71	Q8NE71;A0A0G2JIC2;H0YGW7	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1
ABCF2	-0.33899983185161	0.363255308161798	0.0121277381550939	0.858538242450358	0.944874608845769	Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2
ABCF3	-0.647784541885562	-0.166209982063714	-0.406997261974638	0.341548345515033	0.0013920068629349	Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3
ABCG2	-4.50815122473174	4.50815122473173	-3.774758283725531e-15	0.861983338593064	0.999999999999999	Q9UNQ0	Q9UNQ0;F8S0F2	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2
ABHD10	0.216317411557897	1.20718806467938	0.711752738118641	0.467756656728896	0.0058312971265357	Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"""
ABHD11	-1.09816161054358	-0.198032912872607	-0.648097261708095	0.466098040727645	0.005725346555434	Q8NFV4	Q8NFV4;C9J7Q4;H0YC52;H7BZ58	ABHDB_HUMAN	Protein ABHD11
ABHD12	-0.927374921160631	0.0318303977848128	-0.447772261687909	0.678806767985161	0.0665473352264555	Q8N2K0	Q8N2K0;Q5T712	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12
ABHD13	-7.83943837570557	7.56251078115282	-0.138463797276375	0.860210874130141	0.971286388494354	Q7L211	Q7L211	ABHDD_HUMAN	Protein ABHD13
ABHD14A	-0.388530597479056	0.388530597479059	1.33226762955019e-15	0.861983338593064	0.999999999999994	Q9BUJ0	Q9BUJ0;K7N7A0	ABHEA_HUMAN	Protein ABHD14A
ABHD14B	-7.18546206586346	3.74919440893796	-1.71813382846275	0.823542157730004	0.53015766611801	Q96IU4	Q96IU4;F8W9U3;B4DQI4	ABHEB_HUMAN	Protein ABHD14B
ABHD15	13.4543657947776	19.0892544226279	16.2718101087027	2.07495107170175e-07	2.7102937066476202e-15	Q6UXT9	Q6UXT9	ABH15_HUMAN	Protein ABHD15
ABHD16A	-1.7411440403081	-0.355050483404721	-1.04809726185641	0.430356716419373	0.0038511371548766	O95870	O95870;A0A0G2JJD3	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A
