	wt_d0._vs_TET3KO_d0._diff	wt_d0._vs_TET3KO_d0._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
A2M	5.20534873387167	0.0106396153016605	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin	
AAAS	-0.957716064471953	9.09347374849504e-05	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin	
AACS	-0.173366064570025	0.421659498642003	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase	
AADAT	4.44089209850063e-16	0.999999999999999	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""	2.0
AAGAB	-0.104041064369927	0.764628747300564	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	
AAK1	2.10238813434553	0.003402442145297	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)	
AAK1	0.0196089350943964	0.883527981057039	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1	
AAMDC	0.471233935485671	0.386414384061667	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein	6.0
AAMP	-0.0419660647115947	0.826494192736852	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein	
AAR2	1.29118627185495	0.561604598597373	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog	3.0
AARS1	0.167833935311187	0.152079484848429	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""	
AARS2	-0.416166064508655	0.0076299156125363	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""	
AARSD1	-0.377041064681791	0.0258417407477084	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASDH	12.0576462399467	0.0003604001039327	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme	
AASDHPPT	0.781158935426433	3.00551454104294e-05	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	
AASS	0.42533393546368	0.0800640901693152	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
AATF	0.619983935203571	0.0091413953320544	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF	
