	wt_d4._vs_TET3KO_d4._diff	wt_d4._vs_TET3KO_d4._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
A2M	0.428969866435423	0.827275161826489	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin	
AAAS	-0.256705133702376	0.256196216256479	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin	
AACS	0.243794866231099	0.260115012321731	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase	
AADAT	-0.244130133508772	0.487072288773581	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""	2.0
AAGAB	-0.579908259805276	0.0999745651015492	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	
AAK1	1.60711853624548	0.0225084432890713	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)	
AAK1	-0.248355133882725	0.0684509745584517	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1	
AAMDC	-17.1667033796591	5.18722916801532e-33	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein	6.0
AAMP	-0.255780133749724	0.185651586389922	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein	
AAR2	12.8597156312576	5.31057527780122e-07	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog	3.0
AARS1	0.174919866575149	0.135890374792522	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""	
AARS2	0.353694866724901	0.0219415681193747	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""	
AARSD1	-0.934755133612054	7.84859325337231e-07	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASDH	0.0	1.0	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme	
AASDHPPT	0.35736986650025	0.0395987546028687	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	
AASS	1.18196986659295	9.5852443759502e-06	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
AATF	0.284394866417177	0.218185232528521	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF	
ABAT	0.475094866498999	0.0619819277162165	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""	8.0
ABCA1	0.497869866377595	0.770372774825067	O95477	O95477	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1	
ABCA2	0.0	1.0	Q9BZC7	Q9BZC7;A0A087WXK5;J3QSS3;E9PGB2	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2	1.0
ABCA3	-0.0878301334318508	0.975507924673159	Q99758	Q99758;H0Y3H2	ABCA3_HUMAN	ATP-binding cassette sub-family A member 3	
ABCA4	-17.5227320272993	1.2317597464168602e-09	P78363	P78363;F6TT59	ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4	4.0
ABCA5	0.261994866387496	0.548661687204617	Q8WWZ7	Q8WWZ7;K7EMV2;K7EPM3;A0A075B778	ABCA5_HUMAN	ATP-binding cassette sub-family A member 5	2.0
ABCA9	0.0	1.0	Q8IUA7	Q8IUA7;H0Y4U7	ABCA9_HUMAN	ATP-binding cassette sub-family A member 9	
ABCB10	-0.0515301336251461	0.879896783143272	Q9NRK6	Q9NRK6	ABCBA_HUMAN	"""ATP-binding cassette sub-family B member 10, mitochondrial"""	
ABCB6	0.395319866055701	0.264067714370993	Q9NP58	Q9NP58	ABCB6_HUMAN	"""ATP-binding cassette sub-family B member 6, mitochondrial"""	
ABCB7	0.270294866346099	0.344797178793471	O75027	O75027;A0A590UJS8;A0A2R8Y473;A0A087WW65;B4DGL8;A0A5F9ZA98	ABCB7_HUMAN	"""ATP-binding cassette sub-family B member 7, mitochondrial"""	
ABCB8	0.558669866093702	0.0647931246981559	Q9NUT2	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit	
ABCC1	0.172019866365499	0.400277109976739	P33527	P33527;I3L4X2	MRP1_HUMAN	Multidrug resistance-associated protein 1	
ABCC10	-0.217780133744203	0.630380325409671	Q5T3U5	Q5T3U5;H0Y904	MRP7_HUMAN	Multidrug resistance-associated protein 7	
ABCC4	-0.665130133455079	0.128453108490666	O15439	O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4	
ABCC5	0.486694866326747	0.290644837495814	O15440	O15440;F8WCY8	MRP5_HUMAN	Multidrug resistance-associated protein 5	
ABCD1	0.978417180474654	0.077913242969374	P33897	P33897;A6NEP8	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1	
ABCD2	0.611578424509602	0.780490024777827	Q9UBJ2	Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2	
ABCD3	0.562919866246375	0.0130374753060364	P28288	P28288;A0A3B3ITW3	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3	
ABCD4	-0.071530089828725	0.982539453394987	O14678	O14678;H0YJ78	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4	3.0
ABCE1	0.509019866260722	0.0017050451402045	P61221	P61221;D6RGF4;D6R9I9;H0Y990	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1	
ABCF1	0.0839948665699701	0.496552980053671	Q8NE71	Q8NE71;A0A0G2JIC2;H0YGW7	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1	
ABCF2	0.0867448663005028	0.621366320082975	Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2	
ABCF3	-0.530455133592071	5.69440718161114e-05	Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3	
ABCG2	0.0	1.0	Q9UNQ0	Q9UNQ0;F8S0F2	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2	3.0
ABHD10	0.4504698664072	0.0737036647091121	Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"""	
ABHD11	-0.608630133553671	0.0091313003930675	Q8NFV4	Q8NFV4;C9J7Q4;H0YC52;H7BZ58	ABHDB_HUMAN	Protein ABHD11	
ABHD12	0.189019866446881	0.431672168087999	Q8N2K0	Q8N2K0;Q5T712	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12	
ABHD13	11.83456583051	0.0033599434888781	Q7L211	Q7L211	ABHDD_HUMAN	Protein ABHD13	
ABHD14A	-0.351658867676203	0.0749809942847293	Q9BUJ0	Q9BUJ0;K7N7A0	ABHEA_HUMAN	Protein ABHD14A	
ABHD14B	-14.2728242789474	3.7153755118187e-06	Q96IU4	Q96IU4;F8W9U3;B4DQI4	ABHEB_HUMAN	Protein ABHD14B	6.0
ABHD15	15.3457339425641	1.99516340411945e-14	Q6UXT9	Q6UXT9	ABH15_HUMAN	Protein ABHD15	2.0
ABHD16A	0.186619866479301	0.590425356493402	O95870	O95870;A0A0G2JJD3	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A	
ABHD17A	0.174019866526951	0.542587192636003	Q96GS6	Q96GS6;Q6PCB6;K7EQ25;K7ENJ6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A	
ABHD17B	-0.623904037250245	0.238488685267849	Q5VST6	Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B	
ABHD18	-15.5516473024293	2.8538647718813204e-09	A0A2R8YEZ0;B7WP89	B7WP89;A0A2R8YEZ0	A0A2R8YEZ0_HUMAN;B7WP89_HUMAN	Protein ABHD18	6.0
ABHD3	16.701882230276	9.82243564498206e-33	Q8WU67	Q8WU67;J3KTE1	ABHD3_HUMAN	Phospholipase ABHD3	5.0
ABHD4	14.6246570097331	3.1752562592160805e-09	Q8TB40	Q8TB40	ABHD4_HUMAN	(Lyso)-N-acylphosphatidylethanolamine lipase	3.0
ABHD5	-0.15445513352325	0.764426435262808	Q8WTS1	Q8WTS1;A0A2R8YG22;C9J1D1	ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	
ABHD6	-0.328330133804371	0.827761246568372	Q9BV23	Q9BV23	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6	5.0
ABI1	-0.0215551336355269	0.90786454778332	Q8IZP0	Q9NYB9;Q8IZP0;E9PEZ7;A0A0A0MRT6;A0A0C4DG21;B6VEX4;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI1_HUMAN	Abl interactor 1	
ABI2	-0.821530133486721	0.0266144581452458	Q9NYB9	Q9NYB9;H7C3Q7;A0A0C4DG21;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI2_HUMAN	Abl interactor 2	
ABL1	-0.810030133500153	1.06269433101475e-05	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1	8.0
ABL2	0.445944866528347	0.136967116717076	P42684	P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2	
ABLIM1	-0.0516051335335526	0.97116025272853	O14639	O14639;F8W8M4;J3QSX6;F6XFR5;A0A494C1G0;A0A0A0MRL6;A0A3B3IS55;A0A494C1P1;H0Y7N6	ABLM1_HUMAN	Actin-binding LIM protein 1	7.0
ABR	-0.0495051336956784	0.885636445561153	Q12979	Q12979;A0A0G2JQ41;B7Z683;A0A1C7CYZ0;I3NI05	ABR_HUMAN	Active breakpoint cluster region-related protein	
ABRACL	0.670159777455623	0.145228987343046	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL	8.0
ABRAXAS1	0.0	1.0	Q6UWZ7	Q6UWZ7;A0A087WWJ9;D6REL5;A0A087WZ78	ABRX1_HUMAN	BRCA1-A complex subunit Abraxas 1	
ABRAXAS2	-0.791080133663922	0.0136133237835746	Q15018	Q15018	ABRX2_HUMAN	BRISC complex subunit Abraxas 2	
ABT1	-0.211180133326678	0.198912588408145	Q9ULW3	Q9ULW3	ABT1_HUMAN	Activator of basal transcription 1	
ACAA1	-0.101780133681196	0.553930009056612	P09110	P09110;C9JDE9;H7C131;H0Y4D4	THIK_HUMAN	"""3-ketoacyl-CoA thiolase, peroxisomal"""	
ACAA2	0.556594866287522	0.0115396898934276	P42765	P42765;A0A0B4J2A4	THIM_HUMAN	"""3-ketoacyl-CoA thiolase, mitochondrial"""	
ACACA	0.0574448664455005	0.745703243448808	Q13085	Q13085;Q59FY4;A0A087WWN5	ACACA_HUMAN	Acetyl-CoA carboxylase 1	
ACAD10	-0.0082301335179053	0.984170259787201	Q6JQN1	Q6JQN1;F8W1I9;D6RFF6	ACD10_HUMAN	Acyl-CoA dehydrogenase family member 10	
ACAD11	-0.908446015915953	0.580576656574748	Q709F0	Q709F0	ACD11_HUMAN	Acyl-CoA dehydrogenase family member 11	
ACAD8	0.342369866434105	0.0683404186291589	Q9UKU7	Q9UKU7	ACAD8_HUMAN	"""Isobutyryl-CoA dehydrogenase, mitochondrial"""	
ACAD9	0.147969866403024	0.414952747455186	Q9H845	Q9H845;H0Y8Z9	ACAD9_HUMAN	"""Complex I assembly factor ACAD9, mitochondrial"""	
ACADM	0.521444866355669	0.0277691048563808	P11310	P11310;E9PJM9;B7Z9I1;Q5T4U5	ACADM_HUMAN	"""Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"""	
ACADS	-0.0419301334841258	0.984710192927459	P16219	P16219;E9PE82	ACADS_HUMAN	"""Short-chain specific acyl-CoA dehydrogenase, mitochondrial"""	2.0
ACADSB	0.0295448665814568	0.885950992768731	P45954	P45954	ACDSB_HUMAN	"""Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"""	
ACADVL	0.084419866344696	0.629959719610357	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""	8.0
ACAP1	-4.40700224639455	0.0517988519762156	Q15027	Q15027	ACAP1_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"""	
ACAP2	1.06984517007932	0.493829875455784	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""	8.0
ACAP3	-0.425080133869301	0.770986643536902	Q96P50	Q96P50	ACAP3_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3"""	5.0
ACAT1	0.306744866482951	0.206358152742679	P24752	P24752;A0A5F9ZI66;A0A5F9ZHJ0;A0A5F9ZHD4	THIL_HUMAN	"""Acetyl-CoA acetyltransferase, mitochondrial"""	
ACAT2	-0.234255133844822	0.348314520333576	Q9BWD1	Q9BWD1	THIC_HUMAN	"""Acetyl-CoA acetyltransferase, cytosolic"""	
ACBD3	-0.292405133588552	0.0217828870642376	Q9H3P7	Q9H3P7	GCP60_HUMAN	Golgi resident protein GCP60	
ACBD5	0.388994866545321	0.141778444312822	Q5T8D3	Q5T8D3;Q5T8E0;B7Z2R7;X6RDD7	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5	
ACBD6	-0.578130133790395	0.0120199513289279	Q9BR61	Q9BR61;A0A2R8Y544	ACBD6_HUMAN	Acyl-CoA-binding domain-containing protein 6	
ACD	1.48716019983288	0.40952029388615	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog	8.0
ACE	12.8751156311031	0.0001288632272065	P12821	P12821;F6X3S4;J3KTB8;A0A0A0MSN4	ACE_HUMAN	Angiotensin-converting enzyme	2.0
ACHE	-0.493255133669301	0.241287407281567	P22303	P22303;C9J2S3;F8WAR7;F8WD68;C9JZL6	ACES_HUMAN	Acetylcholinesterase	2.0
ACIN1	0.590819866053497	0.0039626324931797	Q9UKV3	Q9UKV3;G3V3B0;E7EQT4;S4R3H4;G3V3T3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus	
ACLY	-0.147655133630021	0.500465762016435	P53396	P53396	ACLY_HUMAN	ATP-citrate synthase	
ACO1	-0.263655133470699	0.14893493705194	P21399	P21399	ACOC_HUMAN	Cytoplasmic aconitate hydratase	
ACO2	0.881694866243851	3.6598263590152e-06	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""	8.0
ACOT1	-0.330880133488652	0.0172832156943464	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1	8.0
ACOT7	-0.0256301335680931	0.835989925549512	O00154	O00154;K7EKP8	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase	
ACOT8	1.09981986671112	7.87603520984085e-07	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8	8.0
ACOT9	0.336594866408905	0.125106374626892	Q9Y305	Q9Y305;H7C5Q2;C9J7L8	ACOT9_HUMAN	"""Acyl-coenzyme A thioesterase 9, mitochondrial"""	
ACOX1	0.167744866411951	0.745128275199032	Q15067	Q15067	ACOX1_HUMAN	Peroxisomal acyl-coenzyme A oxidase 1	
ACOX3	-0.252580133161302	0.629733292264019	O15254	O15254	ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3	
ACP1	1.16511986655925	0.0031342616979848	P24666	P24666;G5E9R5	PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase	8.0
ACP2	-0.261005133477848	0.213437926829446	P11117	P11117;E9PQY3;E9PHY0;A0A5F9ZHR7;B7Z6U3;A0A5F9ZH40;A0A5F9ZH82;B7Z7D2;A0A5F9ZI20	PPAL_HUMAN	Lysosomal acid phosphatase	8.0
ACSF2	0.427094866232128	0.134910107898347	Q96CM8	Q96CM8;E9PF16	ACSF2_HUMAN	"""Medium-chain acyl-CoA ligase ACSF2, mitochondrial"""	
ACSF3	0.195794866530576	0.248104676821173	Q4G176	Q4G176;F5H5A1;A0A3B3ISK9;F5H362;F5H755	ACSF3_HUMAN	"""Malonate--CoA ligase ACSF3, mitochondrial"""	
ACSL1	1.28176986638765	1.59206701803336e-06	P33121	P33121;E7EPM6;B7Z3Z9;D6RER0;H0Y9Z9	ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1	8.0
ACSL3	0.441119866333626	0.0450936139959059	O95573	O95573	ACSL3_HUMAN	Long-chain-fatty-acid--CoA ligase 3	
ACSL4	0.169569866439076	0.405284212138151	O60488	O60488;D6RF95	ACSL4_HUMAN	Long-chain-fatty-acid--CoA ligase 4	
ACSL6	12.4752147931131	1.74573189885212e-11	Q9UKU0	Q9UKU0;A0A494C0B6;A0A494C116;A0A494C0J9;A0A499FJL5;A0A494BZW8;C9J3Z0;C9J8C7;A0A494C1I9;A0A494C0A5;A0A494C005;A0A494C046	ACSL6_HUMAN	Long-chain-fatty-acid--CoA ligase 6	5.0
ACSS2	2.11379769431183	0.0182236957163759	Q9NR19	Q9NR19;F8WDJ9;B4DEH9;C9IYL0;C9J7L5;C9JXD9;F8WCJ4;C9JY31	ACSA_HUMAN	"""Acetyl-coenzyme A synthetase, cytoplasmic"""	8.0
ACSS3	0.799219866493598	0.0272320687952767	Q9H6R3	Q9H6R3;A0A0B4J1R2	ACSS3_HUMAN	"""Acyl-CoA synthetase short-chain family member 3, mitochondrial"""	
ACTA2	-0.494455133581599	0.0691980763024301	P62736	P62736;P68032;P68133;P63267;A6NL76;F8WB63;C9JFL5;B8ZZJ2;F6UVQ4;F6QUT6	ACTA_HUMAN	"""Actin, aortic smooth muscle"""	
ACTB	2.78994869692908	0.35856302929715	A0A2R8Y793	A0A2R8Y793	A0A2R8Y793_HUMAN	"""Actin, cytoplasmic 1 (Fragment)"""	7.0
ACTB	0.6925698663171	3.69774499354569e-05	P60709	P63261;P60709;I3L4N8;G5E9R0;I3L3R2;I3L1U9;E7EVS6;I3L3I0;J3KT65;A0A2R8Y793;A0A2R8YGF8	ACTB_HUMAN	"""Actin, cytoplasmic 1"""	7.0
ACTBL2	-0.0286051334383721	0.922774300559312	Q562R1	Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2	
ACTG1	-0.290430133770528	0.793353489897438	K7EM38	K7EM38	K7EM38_HUMAN	"""Actin, cytoplasmic 2 (Fragment)"""	
ACTG1	0.0	1.0	P63261	P63261;I3L4N8;I3L3R2;I3L1U9;I3L3I0;K7EM38;J3KT65	ACTG_HUMAN	"""Actin, cytoplasmic 2"""	
ACTL6A	0.294494866463221	0.0770356752760621	O96019	O96019;H7C5S0	ACL6A_HUMAN	Actin-like protein 6A	
ACTL6B	0.156769866435898	0.419230700297361	O94805	O94805;C9JQT4	ACL6B_HUMAN	Actin-like protein 6B	2.0
ACTN1	0.727394866375349	0.22650698056408	H9KV75	H9KV75	H9KV75_HUMAN	Alpha-actinin cytoskeletal isoform	
ACTN1	0.163794866479325	0.186089663147419	P12814	P12814;H9KV75;G3V2N5;G3V2W4	ACTN1_HUMAN	Alpha-actinin-1	
ACTN2	0.171494866457977	0.92124602469717	P35609	P35609;A0A494C1A0;F6THM6	ACTN2_HUMAN	Alpha-actinin-2	
ACTN4	-0.439605133680399	0.0023363065370126	H7C144	H7C144	H7C144_HUMAN	Alpha-actinin-4 (Fragment)	8.0
ACTN4	0.170394866312236	0.446658816277688	K7EJH8	K7EJH8	K7EJH8_HUMAN	Alpha-actinin-4 (Fragment)	8.0
ACTN4	0.425569866616101	6.29479166392544e-05	O43707	O43707;H7C144;F5GXS2	ACTN4_HUMAN	Alpha-actinin-4	8.0
ACTR10	0.0373698664324458	0.954098895411221	Q9NZ32	Q9NZ32;V9GYX7;F6S9Y6;G3V2Q5;G3V5Y4	ARP10_HUMAN	Actin-related protein 10	
ACTR1A	0.0881198663831775	0.517066279624561	P61163	P61163;A0A1B0GVS3;R4GMT0	ACTZ_HUMAN	Alpha-centractin	
ACTR1B	-0.560455133454948	0.217906981758117	P42025	P42025	ACTY_HUMAN	Beta-centractin	
ACTR2	0.230169866364431	0.457545862228114	P61160	P61160;A0A1B0GWH0;A0A1B0GWD0	ARP2_HUMAN	Actin-related protein 2	
ACTR3	0.22896986599638	0.140105597142758	P61158	P61158;B4DXW1	ARP3_HUMAN	Actin-related protein 3	
ACTR3B	0.7737846067518	0.739420839025215	Q9P1U1	Q9P1U1	ARP3B_HUMAN	Actin-related protein 3B	
