	wt_d1._vs_TET3KO_d1._diff	wt_d1._vs_TET3KO_d1._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
A2M	0.931223576849032	0.63606073547706	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin	
AAAS	-0.648645485207602	0.0056245353744149	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin	
AACS	0.0458545145561615	0.831143574409551	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase	
AADAT	-4.44089209850063e-16	0.999999999999999	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""	2.0
AAGAB	-0.448195485709647	0.200933467238762	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	
AAK1	0.853229514724752	0.216339394315243	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)	
AAK1	-0.330020485456476	0.0168868873109935	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1	
AAMDC	-0.130620485355397	0.809557497301034	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein	6.0
AAMP	0.102429514257057	0.593119565092397	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein	
AAR2	0.357979514457853	0.87193094558067	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog	3.0
AARS1	0.322229514297213	0.0075210338873842	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""	
AARS2	-0.167770485354374	0.266416556123132	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""	
AARSD1	-0.404270485547976	0.0173024075642017	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASDH	4.44309098962752	0.162492239811759	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme	
AASDHPPT	0.271604514471651	0.114288090344782	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	
AASS	0.532179514532121	0.0300019525678872	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
AATF	0.188829514265706	0.41142688228762	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF	
ABAT	0.581904514524574	0.0235025131748847	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""	8.0
ABCA1	0.625295778832626	0.713995812195686	O95477	O95477	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1	
ABCA2	15.4175571407055	2.0711739014271502e-47	Q9BZC7	Q9BZC7;A0A087WXK5;J3QSS3;E9PGB2	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2	1.0
ABCA3	-4.49684269897063	0.120853108048442	Q99758	Q99758;H0Y3H2	ABCA3_HUMAN	ATP-binding cassette sub-family A member 3	
ABCA4	-13.8733557852736	2.8727525607654e-07	P78363	P78363;F6TT59	ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4	4.0
ABCA5	1.77635683940025e-15	0.999999999999997	Q8WWZ7	Q8WWZ7;K7EMV2;K7EPM3;A0A075B778	ABCA5_HUMAN	ATP-binding cassette sub-family A member 5	2.0
ABCA9	4.35574686713042	0.0082807935117436	Q8IUA7	Q8IUA7;H0Y4U7	ABCA9_HUMAN	ATP-binding cassette sub-family A member 9	
ABCB10	-0.330620485552181	0.334720864336152	Q9NRK6	Q9NRK6	ABCBA_HUMAN	"""ATP-binding cassette sub-family B member 10, mitochondrial"""	
ABCB6	-0.124645485507223	0.723102121083037	Q9NP58	Q9NP58	ABCB6_HUMAN	"""ATP-binding cassette sub-family B member 6, mitochondrial"""	
ABCB7	0.0059545146269535	0.983314056351615	O75027	O75027;A0A590UJS8;A0A2R8Y473;A0A087WW65;B4DGL8;A0A5F9ZA98	ABCB7_HUMAN	"""ATP-binding cassette sub-family B member 7, mitochondrial"""	
ABCB8	0.549304514227504	0.0692435292545337	Q9NUT2	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit	
ABCC1	-0.0562704853552951	0.782470573941469	P33527	P33527;I3L4X2	MRP1_HUMAN	Multidrug resistance-associated protein 1	
ABCC10	-0.153243178593222	0.734751252691988	Q5T3U5	Q5T3U5;H0Y904	MRP7_HUMAN	Multidrug resistance-associated protein 7	
ABCC4	-0.126395485653596	0.769941369479184	O15439	O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4	
ABCC5	0.0704045145779233	0.877781671845149	O15440	O15440;F8WCY8	MRP5_HUMAN	Multidrug resistance-associated protein 5	
ABCD1	0.352129514477696	0.519597841163133	P33897	P33897;A6NEP8	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1	
ABCD2	4.44089209850063e-16	1.0	Q9UBJ2	Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2	
ABCD3	0.215629514471821	0.327624514696	P28288	P28288;A0A3B3ITW3	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3	
ABCD4	13.86072120451	9.86765222890615e-05	O14678	O14678;H0YJ78	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4	3.0
ABCE1	0.483454514429155	0.0027484220655514	P61221	P61221;D6RGF4;D6R9I9;H0Y990	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1	
ABCF1	0.135754514581869	0.273746942216307	Q8NE71	Q8NE71;A0A0G2JIC2;H0YGW7	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1	
ABCF2	0.347554514511877	0.0522795888730895	Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2	
ABCF3	-0.290645485712982	0.019072899341341	Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3	
ABCG2	-4.32182466783348	0.0598249511572294	Q9UNQ0	Q9UNQ0;F8S0F2	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2	3.0
ABHD10	0.546154514442875	0.031461885749068	Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"""	
ABHD11	-0.524020485867474	0.0234713800749827	Q8NFV4	Q8NFV4;C9J7Q4;H0YC52;H7BZ58	ABHDB_HUMAN	Protein ABHD11	
ABHD12	0.23262951440563	0.334004968425264	Q8N2K0	Q8N2K0;Q5T712	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12	
ABHD13	-0.730213640402575	0.849473944685056	Q7L211	Q7L211	ABHDD_HUMAN	Protein ABHD13	
ABHD14A	4.44089209850063e-16	0.999999999999998	Q9BUJ0	Q9BUJ0;K7N7A0	ABHEA_HUMAN	Protein ABHD14A	
ABHD14B	-1.60891759511637	0.556521391715449	Q96IU4	Q96IU4;F8W9U3;B4DQI4	ABHEB_HUMAN	Protein ABHD14B	6.0
ABHD15	3.7833678804034	0.0095946888655664	Q6UXT9	Q6UXT9	ABH15_HUMAN	Protein ABHD15	2.0
ABHD16A	-0.0089204855609779	0.979442493532362	O95870	O95870;A0A0G2JJD3	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A	
ABHD17A	-0.22057048547375	0.440800279826387	Q96GS6	Q96GS6;Q6PCB6;K7EQ25;K7ENJ6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A	
ABHD17B	0.467979514438674	0.375018261741745	Q5VST6	Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B	
ABHD18	-0.580945485702873	0.785290094145352	A0A2R8YEZ0;B7WP89	B7WP89;A0A2R8YEZ0	A0A2R8YEZ0_HUMAN;B7WP89_HUMAN	Protein ABHD18	6.0
ABHD3	0.0394545145363772	0.941197543639293	Q8WU67	Q8WU67;J3KTE1	ABHD3_HUMAN	Phospholipase ABHD3	5.0
ABHD4	-0.600245485464669	0.765676423685808	Q8TB40	Q8TB40	ABHD4_HUMAN	(Lyso)-N-acylphosphatidylethanolamine lipase	3.0
ABHD5	-0.682220485414323	0.18957932320326	Q8WTS1	Q8WTS1;A0A2R8YG22;C9J1D1	ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	
ABHD6	-0.0451422348766002	0.976129331063541	Q9BV23	Q9BV23	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6	5.0
ABI1	0.1838795144979	0.326034437652981	Q8IZP0	Q9NYB9;Q8IZP0;E9PEZ7;A0A0A0MRT6;A0A0C4DG21;B6VEX4;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI1_HUMAN	Abl interactor 1	
ABI2	-0.641370485643652	0.0803121440210673	Q9NYB9	Q9NYB9;H7C3Q7;A0A0C4DG21;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI2_HUMAN	Abl interactor 2	
ABL1	-0.562045485342303	0.001284820607894	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1	8.0
ABL2	0.594054514508027	0.0496267430408132	P42684	P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2	
ABLIM1	0.648343639805177	0.650042818518954	O14639	O14639;F8W8M4;J3QSX6;F6XFR5;A0A494C1G0;A0A0A0MRL6;A0A3B3IS55;A0A494C1P1;H0Y7N6	ABLM1_HUMAN	Actin-binding LIM protein 1	7.0
ABR	-0.311970485414673	0.366827587675791	Q12979	Q12979;A0A0G2JQ41;B7Z683;A0A1C7CYZ0;I3NI05	ABR_HUMAN	Active breakpoint cluster region-related protein	
ABRACL	0.647229514694033	0.159178970373564	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL	8.0
ABRAXAS1	6.66133814775094e-16	1.0	Q6UWZ7	Q6UWZ7;A0A087WWJ9;D6REL5;A0A087WZ78	ABRX1_HUMAN	BRCA1-A complex subunit Abraxas 1	
ABRAXAS2	-0.711970485438247	0.0254688055137902	Q15018	Q15018	ABRX2_HUMAN	BRISC complex subunit Abraxas 2	
ABT1	-0.190445485488823	0.245860636994855	Q9ULW3	Q9ULW3	ABT1_HUMAN	Activator of basal transcription 1	
ACAA1	-0.0675704855351711	0.694050646610675	P09110	P09110;C9JDE9;H7C131;H0Y4D4	THIK_HUMAN	"""3-ketoacyl-CoA thiolase, peroxisomal"""	
ACAA2	0.385379514192195	0.0749952343830747	P42765	P42765;A0A0B4J2A4	THIM_HUMAN	"""3-ketoacyl-CoA thiolase, mitochondrial"""	
ACACA	-0.131645486063157	0.458447264011511	Q13085	Q13085;Q59FY4;A0A087WWN5	ACACA_HUMAN	Acetyl-CoA carboxylase 1	
ACAD10	-0.474820485493396	0.255709460385713	Q6JQN1	Q6JQN1;F8W1I9;D6RFF6	ACD10_HUMAN	Acyl-CoA dehydrogenase family member 10	
ACAD11	-0.0466430353465732	0.977329550366209	Q709F0	Q709F0	ACD11_HUMAN	Acyl-CoA dehydrogenase family member 11	
ACAD8	0.120904514382556	0.513079288407342	Q9UKU7	Q9UKU7	ACAD8_HUMAN	"""Isobutyryl-CoA dehydrogenase, mitochondrial"""	
ACAD9	-0.140395485424193	0.439073152182287	Q9H845	Q9H845;H0Y8Z9	ACAD9_HUMAN	"""Complex I assembly factor ACAD9, mitochondrial"""	
ACADM	0.631254514419751	0.0084645362717092	P11310	P11310;E9PJM9;B7Z9I1;Q5T4U5	ACADM_HUMAN	"""Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"""	
ACADS	11.9613015114346	1.62960090829725e-06	P16219	P16219;E9PE82	ACADS_HUMAN	"""Short-chain specific acyl-CoA dehydrogenase, mitochondrial"""	2.0
ACADSB	0.0489295146163471	0.812278065127602	P45954	P45954	ACDSB_HUMAN	"""Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"""	
ACADVL	-0.331670485509918	0.0629621898363904	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""	8.0
ACAP1	-0.58994548544451	0.790447911836249	Q15027	Q15027	ACAP1_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"""	
ACAP2	0.179304514462785	0.908474852788435	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""	8.0
ACAP3	-0.250470485488453	0.863777085192427	Q96P50	Q96P50	ACAP3_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3"""	5.0
ACAT1	0.404754514556103	0.0975489493499656	P24752	P24752;A0A5F9ZI66;A0A5F9ZHJ0;A0A5F9ZHD4	THIL_HUMAN	"""Acetyl-CoA acetyltransferase, mitochondrial"""	
ACAT2	0.210579514784222	0.398751918831011	Q9BWD1	Q9BWD1	THIC_HUMAN	"""Acetyl-CoA acetyltransferase, cytosolic"""	
ACBD3	-0.115820485499267	0.35180061273706	Q9H3P7	Q9H3P7	GCP60_HUMAN	Golgi resident protein GCP60	
ACBD5	0.194429514683279	0.458765075357699	Q5T8D3	Q5T8D3;Q5T8E0;B7Z2R7;X6RDD7	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5	
ACBD6	-0.500670485659633	0.0282833748271498	Q9BR61	Q9BR61;A0A2R8Y544	ACBD6_HUMAN	Acyl-CoA-binding domain-containing protein 6	
ACD	0.276629514389974	0.877637559880146	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog	8.0
ACE	4.31571788039593	0.167846685058407	P12821	P12821;F6X3S4;J3KTB8;A0A0A0MSN4	ACE_HUMAN	Angiotensin-converting enzyme	2.0
ACHE	-8.881784197001249e-16	0.999999999999998	P22303	P22303;C9J2S3;F8WAR7;F8WD68;C9JZL6	ACES_HUMAN	Acetylcholinesterase	2.0
ACIN1	0.56537951449365	0.0056558768920306	Q9UKV3	Q9UKV3;G3V3B0;E7EQT4;S4R3H4;G3V3T3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus	
ACLY	0.11972951437037	0.5845189027059	P53396	P53396	ACLY_HUMAN	ATP-citrate synthase	
ACO1	0.250554514440005	0.169725589014437	P21399	P21399	ACOC_HUMAN	Cytoplasmic aconitate hydratase	
ACO2	0.290829514472826	0.089478767335563	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""	8.0
ACOT1	-0.393545485412957	0.0051516257421799	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1	8.0
ACOT7	0.363504514722294	0.0049434012695193	O00154	O00154;K7EKP8	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase	
ACOT8	0.579054514411698	0.0042797954389282	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8	8.0
